"Facility ID","Facility Name",Address,City/Town,State,"ZIP Code",County/Parish,"Telephone Number","Hospital Type","Hospital Ownership","Emergency Services","Meets criteria for birthing friendly designation","Hospital overall rating","Hospital overall rating footnote","MORT Group Measure Count","Count of Facility MORT Measures","Count of MORT Measures Better","Count of MORT Measures No Different","Count of MORT Measures Worse","MORT Group Footnote","Safety Group Measure Count","Count of Facility Safety Measures","Count of Safety Measures Better","Count of Safety Measures No Different","Count of Safety Measures Worse","Safety Group Footnote","READM Group Measure Count","Count of Facility READM Measures","Count of READM Measures Better","Count of READM Measures No Different","Count of READM Measures Worse","READM Group Footnote","Pt Exp Group Measure Count","Count of Facility Pt Exp Measures","Pt Exp Group Footnote","TE Group Measure Count","Count of Facility TE Measures","TE Group Footnote"
22001F,"BEDFORD VA MEDICAL CENTER","200 SPRINGS ROAD",BEDFORD,MA,01730,MIDDLESEX,"(781) 275-7500","Acute Care - Veterans Administration","Veterans Health Administration",No,,"Not Available",16,7,"Not Available","Not Available","Not Available","Not Available",5,8,"Not Available","Not Available","Not Available","Not Available",5,11,"Not Available","Not Available","Not Available","Not Available",5,8,"Not Available",5,12,2,
220020,"SAINT ANNE'S HOSPITAL","795 MIDDLE STREET","FALL RIVER",MA,02721,BRISTOL,"(508) 674-5600","Acute Care Hospitals",Proprietary,Yes,,3,,7,6,0,6,0,,8,7,1,5,1,,11,10,0,7,3,,8,8,,12,10,
220024,"HOLYOKE MEDICAL CENTER","575 BEECH STREET",HOLYOKE,MA,01040,HAMPDEN,"(413) 534-2500","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,2,,7,5,0,5,0,,8,6,0,6,0,,11,8,0,8,0,,8,8,,12,9,
220029,"ANNA JAQUES HOSPITAL","25 HIGHLAND AVENUE",NEWBURYPORT,MA,01950,ESSEX,"(978) 463-1000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,5,0,5,0,,8,4,0,4,0,,11,9,0,9,0,,8,8,,12,11,
220030,"BAYSTATE WING HOSPITAL","40 WRIGHT STREET",PALMER,MA,01069,HAMPDEN,"(413) 283-7651","Acute Care Hospitals","Voluntary non-profit - Other",Yes,,5,,7,4,1,3,0,,8,4,1,3,0,,11,7,0,7,0,,8,8,,12,10,
220031,"BOSTON MEDICAL CENTER","1 BOSTON MEDICAL CENTER PLACE",BOSTON,MA,02118,SUFFOLK,"(617) 638-8000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,7,1,6,0,,8,8,2,6,0,,11,11,0,9,2,,8,8,,12,12,
220033,"NORTHEAST HOSPITAL CORPORATION","85 HERRICK STREET",BEVERLY,MA,01915,ESSEX,"(978) 922-3000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,6,2,4,0,,8,7,1,6,0,,11,10,0,10,0,,8,8,,12,12,
220035,"NORTH SHORE MEDICAL CENTER -","81 HIGHLAND AVENUE",SALEM,MA,01970,ESSEX,"(978) 741-1215","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,6,3,3,0,,8,7,1,5,1,,11,10,1,7,2,,8,8,,12,12,
220036,"BOSTON MEDICAL CENTER-BRIGHTON","736 CAMBRIDGE STREET",BRIGHTON,MA,02135,SUFFOLK,"(617) 789-3000","Acute Care Hospitals",Proprietary,Yes,Y,2,,7,7,0,6,1,,8,7,3,4,0,,11,9,1,5,3,,8,8,,12,10,
220046,"BERKSHIRE MEDICAL CENTER","725 NORTH STREET",PITTSFIELD,MA,01201,BERKSHIRE,"(413) 447-2000","Acute Care Hospitals","Voluntary non-profit - Other",Yes,Y,4,,7,6,0,6,0,,8,7,2,5,0,,11,9,1,8,0,,8,8,,12,12,
220049,"UMASS MEMORIAL HEALTHCARE-MARLBOROUGH HOSPITAL","157 UNION STREET",MARLBOROUGH,MA,01752,MIDDLESEX,"(508) 481-5000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,2,,7,5,0,5,0,,8,4,0,4,0,,11,6,0,5,1,,8,8,,12,10,
220052,"SIGNATURE HEALTHCARE BROCKTON HOSPITAL","680 CENTER STREET",BROCKTON,MA,02302,PLYMOUTH,"(508) 941-7000","Acute Care Hospitals","Voluntary non-profit - Other",Yes,Y,4,,7,6,0,6,0,,8,2,0,2,0,,11,10,0,9,1,,8,"Not Available",5,12,9,
220060,"BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH","275 SANDWICH STREET",PLYMOUTH,MA,02360,PLYMOUTH,"(508) 746-2000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,6,1,5,0,,8,7,1,6,0,,11,10,0,9,1,,8,8,,12,11,
220062,"ADCARE HOSPITAL OF WORCESTER INC","107 LINCOLN STREET",WORCESTER,MA,01605,WORCESTER,"(508) 799-9000","Acute Care Hospitals",Proprietary,No,,"Not Available",16,7,"Not Available","Not Available","Not Available","Not Available",5,8,1,1,0,0,,11,1,0,1,0,,8,"Not Available",5,12,3,
220063,"LOWELL GENERAL HOSPITAL","295 VARNUM AVENUE",LOWELL,MA,01854,MIDDLESEX,"(978) 937-6000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,2,,7,6,0,6,0,,8,7,1,5,1,,11,10,0,8,2,,8,8,,12,11,
220065,"BAYSTATE NOBLE HOSPITAL","115 WEST SILVER STREET",WESTFIELD,MA,01086,HAMPDEN,"(413) 568-2811","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,2,,7,4,0,4,0,,8,2,0,2,0,,11,6,0,5,1,,8,8,,12,10,
220066,"MERCY MEDICAL CTR","271 CAREW STREET",SPRINGFIELD,MA,01104,HAMPDEN,"(413) 748-9000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,2,,7,6,0,5,1,,8,7,1,5,1,,11,9,0,9,0,,8,8,,12,10,
220070,"MELROSEWAKEFIELD HEALTHCARE","585 LEBANON STREET",MELROSE,MA,02176,MIDDLESEX,"(781) 979-3000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,2,,7,6,0,6,0,,8,7,1,6,0,,11,8,0,7,1,,8,8,,12,11,
220071,"MASSACHUSETTS GENERAL HOSPITAL","55 FRUIT STREET",BOSTON,MA,02114,SUFFOLK,"(617) 726-2000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,5,,7,7,3,4,0,,8,8,2,6,0,,11,11,3,5,3,,8,8,,12,11,
220073,"BROWN UNIVERSITY HEALTH MORTON HOSPITAL","88 WASHINGTON STREET",TAUNTON,MA,02780,BRISTOL,"(508) 828-7000","Acute Care Hospitals",Proprietary,Yes,,2,,7,5,1,4,0,,8,7,1,6,0,,11,7,0,5,2,,8,8,,12,11,
220074,"SOUTHCOAST HOSPITALS GROUP","363 HIGHLAND AVENUE","FALL RIVER",MA,02720,BRISTOL,"(508) 679-3131","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,7,1,6,0,,8,8,2,6,0,,11,11,0,11,0,,8,8,,12,12,
220075,"MASSACHUSETTS EYE AND EAR INFIRMARY -","243 CHARLES STREET",BOSTON,MA,02114,SUFFOLK,"(617) 523-7900","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,"Not Available",16,7,"Not Available","Not Available","Not Available","Not Available",5,8,2,0,2,0,,11,2,0,2,0,,8,8,,12,6,
220077,"BAYSTATE MEDICAL CENTER","759 CHESTNUT STREET",SPRINGFIELD,MA,01199,HAMPDEN,"(413) 794-0000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,1,,7,7,0,7,0,,8,8,4,3,1,,11,11,0,8,3,,8,8,,12,11,
220080,"HOLY FAMILY HOSPITAL","70 EAST STREET",METHUEN,MA,01844,ESSEX,"(978) 687-0156","Acute Care Hospitals",Proprietary,Yes,Y,2,,7,6,0,6,0,,8,7,1,6,0,,11,8,0,8,0,,8,8,,12,12,
220083,"BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM","148 CHESTNUT STREET",NEEDHAM,MA,02494,NORFOLK,"(781) 453-3002","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,4,,7,4,2,2,0,,8,5,0,5,0,,11,7,0,6,1,,8,8,,12,10,
220084,"EMERSON HOSPITAL -","133 OLD ROAD TO 9 ACRE CORNER","W CONCORD",MA,01742,MIDDLESEX,"(978) 369-1400","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,6,1,5,0,,8,7,0,7,0,,11,9,0,9,0,,8,8,,12,12,
220086,"BETH ISRAEL DEACONESS MEDICAL CENTER","330 BROOKLINE AVENUE",BOSTON,MA,02215,SUFFOLK,"(617) 667-7000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,7,3,4,0,,8,8,3,4,1,,11,11,0,6,5,,8,8,,12,11,
220088,"NEW ENGLAND BAPTIST HOSPITAL","125 PARKER HILL AVENUE",BOSTON,MA,02120,SUFFOLK,"(617) 754-5800","Acute Care Hospitals","Voluntary non-profit - Private",No,,5,,7,1,0,1,0,,8,3,1,2,0,,11,3,2,0,1,,8,8,,12,3,
220090,"MILFORD REGIONAL MEDICAL CENTER","14 PROSPECT STREET",MILFORD,MA,01757,WORCESTER,"(508) 473-1190","Acute Care Hospitals","Voluntary non-profit - Other",Yes,Y,3,,7,6,1,5,0,,8,7,1,6,0,,11,8,0,6,2,,8,8,,12,12,
220095,"HEYWOOD HOSPITAL -","242 GREEN STREET",GARDNER,MA,01440,WORCESTER,"(978) 632-3420","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,5,0,5,0,,8,4,1,3,0,,11,9,0,9,0,,8,8,,12,11,
220098,"NASHOBA VALLEY MEDICAL CENTER","200 GROTON ROAD",AYER,MA,01432,MIDDLESEX,"(978) 784-9000","Acute Care Hospitals",Proprietary,Yes,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
22009F,"NORTHAMPTON VA MEDICAL CENTER","421 N MAIN ST",LEEDS,MA,01053,HAMPSHIRE,"(413) 584-4040","Acute Care - Veterans Administration","Veterans Health Administration",No,,"Not Available",16,7,"Not Available","Not Available","Not Available","Not Available",5,8,"Not Available","Not Available","Not Available","Not Available",5,11,"Not Available","Not Available","Not Available","Not Available",5,8,"Not Available",5,12,2,
220100,"SOUTH SHORE HOSPITAL","55 FOGG ROAD","SOUTH WEYMOUTH",MA,02190,NORFOLK,"(781) 340-8000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,6,3,3,0,,8,7,1,5,1,,11,8,0,6,2,,8,8,,12,12,
220101,"NEWTON-WELLESLEY HOSPITAL","2014 WASHINGTON STREET",NEWTON,MA,02462,MIDDLESEX,"(617) 243-6000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,5,,7,6,2,4,0,,8,7,3,4,0,,11,9,1,8,0,,8,8,,12,12,
220105,"WINCHESTER HOSPITAL","41 HIGHLAND AVENUE",WINCHESTER,MA,01890,MIDDLESEX,"(781) 729-9000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,6,2,4,0,,8,7,1,6,0,,11,9,0,7,2,,8,8,,12,10,
220108,"BETH ISRAEL DEACONESS HOSPITAL - MILTON","199 REEDSDALE ROAD",MILTON,MA,02186,NORFOLK,"(617) 696-4600","Acute Care Hospitals","Government - Federal",Yes,,4,,7,4,2,2,0,,8,7,1,6,0,,11,7,0,7,0,,8,8,,12,10,
22010F,"VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN","150 S. HUNTINGTON AVENUE","JAMAICA PLAIN",MA,02130,SUFFOLK,"(617) 232-9500","Acute Care - Veterans Administration","Veterans Health Administration",Yes,,4,,7,4,2,2,0,,8,3,0,3,0,,11,6,0,4,2,,8,8,,12,6,
220110,"BRIGHAM AND WOMEN'S HOSPITAL","75 FRANCIS STREET",BOSTON,MA,02115,SUFFOLK,"(617) 732-5500","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,5,,7,7,3,4,0,,8,8,2,6,0,,11,11,1,8,2,,8,8,,12,11,
220111,"GOOD SAMARITAN MEDICAL CENTER","235 NORTH PEARL STREET",BROCKTON,MA,02301,PLYMOUTH,"(508) 427-3000","Acute Care Hospitals",Proprietary,Yes,Y,1,,7,6,2,4,0,,8,7,1,6,0,,11,8,0,5,3,,8,8,,12,12,
220116,"TUFTS MEDICAL CENTER","800 WASHINGTON STREET",BOSTON,MA,02111,SUFFOLK,"(617) 636-5000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,7,1,6,0,,8,7,0,7,0,,11,11,0,8,3,,8,8,,12,10,
220119,"BRIGHAM AND WOMEN'S FAULKNER HOSPITAL","1153 CENTRE STREET","JAMAICA PLAIN",MA,02130,SUFFOLK,"(617) 983-7000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,5,,7,5,4,1,0,,8,6,0,6,0,,11,9,1,8,0,,8,8,,12,11,
220126,"NORWOOD HOSPITAL","800 WASHINGTON STREET",NORWOOD,MA,02062,NORFOLK,"(781) 769-4000","Acute Care Hospitals",Proprietary,Yes,,"Not Available",16,7,"Not Available","Not Available","Not Available","Not Available",5,8,"Not Available","Not Available","Not Available","Not Available",5,11,2,0,2,0,,8,"Not Available",5,12,2,
220135,"FALMOUTH HOSPITAL","67 & 100 TER HEUN DRIVE",FALMOUTH,MA,02540,BARNSTABLE,"(508) 548-5300","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,4,,7,6,1,5,0,,8,5,0,5,0,,11,8,0,8,0,,8,8,,12,11,
220163,"UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS","55 LAKE AVENUE NORTH",WORCESTER,MA,01655,WORCESTER,"(508) 334-1000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,7,4,3,0,,8,8,3,5,0,,11,11,0,9,2,,8,8,,12,10,
220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON","41 & 45 MALL ROAD",BURLINGTON,MA,01803,MIDDLESEX,"(781) 744-5100","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,5,,7,7,2,5,0,,8,7,2,5,0,,11,11,1,10,0,,8,8,,12,10,
220175,"METROWEST MEDICAL CENTER","115 LINCOLN STREET",FRAMINGHAM,MA,01701,MIDDLESEX,"(508) 383-1000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,1,,7,6,1,5,0,,8,6,0,6,0,,11,10,0,10,0,,8,8,,12,10,
220176,"ST VINCENT HOSPITAL","123 SUMMER STREET",WORCESTER,MA,01608,WORCESTER,"(508) 363-5000","Acute Care Hospitals",Proprietary,Yes,Y,2,,7,7,0,7,0,,8,7,1,6,0,,11,11,0,10,1,,8,8,,12,10,
220177,"NANTUCKET COTTAGE HOSPITAL","57 PROSPECT STREET",NANTUCKET,MA,02554,NANTUCKET,"(508) 228-1200","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,"Not Available",16,7,2,0,2,0,,8,"Not Available","Not Available","Not Available","Not Available",5,11,6,0,5,1,,8,"Not Available",5,12,9,
221300,"MARTHA'S VINEYARD HOSPITAL INC","ONE HOSPITAL ROAD, FIRST FL, WING 5,  PO BOX 1477","OAK BLUFFS",MA,02557,DUKES,"(508) 693-0410","Critical Access Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,3,0,3,0,,8,1,0,1,0,,11,7,0,7,0,,8,8,,12,8,
221302,"FAIRVIEW HOSPITAL","29 LEWIS AVENUE","GREAT BARRINGTON",MA,01230,BERKSHIRE,"(413) 528-0790","Critical Access Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,3,0,3,0,,8,1,0,1,0,,11,7,0,7,0,,8,8,,12,5,
221303,"ATHOL MEMORIAL HOSPITAL","2033 MAIN STREET",ATHOL,MA,01331,WORCESTER,"(978) 249-3511","Critical Access Hospitals","Voluntary non-profit - Private",Yes,,4,,7,3,0,3,0,,8,1,0,1,0,,11,5,0,5,0,,8,"Not Available",5,12,7,
221304,"NORTH ADAMS REGIONAL HOSPITAL CORPORATION","71 HOSPITAL AVENUE","NORTH ADAMS",MA,01247,BERKSHIRE,"(413) 664-5000","Critical Access Hospitals","Government - Federal",Yes,,"Not Available",5,"Not Available","Not Available","Not Available","Not Available","Not Available",5,"Not Available","Not Available","Not Available","Not Available","Not Available",5,"Not Available","Not Available","Not Available","Not Available","Not Available",5,"Not Available","Not Available",5,"Not Available","Not Available",5
223300,"FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER","30 WARREN STREET",BRIGHTON,MA,02135,SUFFOLK,"(617) 254-3800",Childrens,"Voluntary non-profit - Private",No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
223302,"BOSTON CHILDREN'S HOSPITAL","300 LONGWOOD AVENUE",BOSTON,MA,02115,SUFFOLK,"(617) 735-6000",Childrens,"Voluntary non-profit - Private",Yes,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
223304,"THE SHRINERS' HOSPITAL FOR CHILDREN - BOSTON","51 BLOSSOM STREET",BOSTON,MA,02114,SUFFOLK,"(617) 722-3000",Childrens,Proprietary,No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224001,"TAUNTON STATE HOSPITAL","60 HODGES AVENUE, BOX 151",TAUNTON,MA,02780,BRISTOL,"(508) 977-3000",Psychiatric,"Government - State",No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224007,"MCLEAN HOSPITAL CORPORATION","115 MILL STREET",BELMONT,MA,02478,MIDDLESEX,"(617) 855-3450",Psychiatric,"Voluntary non-profit - Private",No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224013,"ARBOUR HOSPITAL","49 ROBINWOOD AVENUE",BOSTON,MA,02130,SUFFOLK,"(617) 522-4400",Psychiatric,Proprietary,No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224018,"ARBOUR HUMAN RESOURCE INSTITUTE","227 BABCOCK STREET",BROOKLINE,MA,02446,NORFOLK,"(617) 731-3200",Psychiatric,Proprietary,No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224021,"ARBOUR-FULLER HOSPITAL","200 MAY STREET","SOUTH ATTLEBORO",MA,02703,BRISTOL,"(508) 761-8500",Psychiatric,Proprietary,No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224022,"BOURNEWOOD HOSPITAL","300 SOUTH STREET",BROOKLINE,MA,02467,MIDDLESEX,"(617) 469-0300",Psychiatric,Proprietary,No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224023,"WESTWOOD PEMBROKE HEALTH SYSTEMS","45 CLAPBOARDTREE STREET",WESTWOOD,MA,02090,NORFOLK,"(617) 762-7764",Psychiatric,Proprietary,Yes,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224028,"DR JOHN C CORRIGAN MENTAL HEALTH CENTER","49 HILLSIDE STREET","FALL RIVER",MA,02720,BRISTOL,"(508) 235-7600",Psychiatric,"Government - State",No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224031,"CAPE COD & ISLANDS COMMUNITY MENTAL HEALTH CENTER","830 COUNTY ROAD",POCASSET,MA,02559,BARNSTABLE,"(508) 563-2276",Psychiatric,"Government - State",No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224032,"WORCESTER RECOVERY CENTER AND HOSPITAL","309 BELMONT STREET",WORCESTER,MA,01604,WORCESTER,"(508) 752-4681",Psychiatric,"Government - State",No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224038,"WALDEN BEHAVIORAL CARE, LLC","10 CAREMATRIX DR",DEDHAM,MA,02026,NORFOLK,"(781) 647-6727",Psychiatric,"Government - Federal",No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224039,"WHITTIER PAVILION","76 SUMMER STREET",HAVERHILL,MA,01830,ESSEX,"(978) 373-8222",Psychiatric,Proprietary,No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224040,"DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER","85 EAST NEWTON STREET",BOSTON,MA,02118,SUFFOLK,"(617) 626-8700",Psychiatric,"Government - State",No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224041,"SOUTHCOAST BEHAVIORAL HEALTH","581 FAUNCE CORNER ROAD",DARTMOUTH,MA,02747,BRISTOL,"(615) 861-6000",Psychiatric,Proprietary,No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
224043,"TARAVISTA BEHAVIORAL HEALTH CENTER","85 PATTON ROAD",DEVENS,MA,01434,WORCESTER,"(978) 615-5200",Psychiatric,Proprietary,No,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
